SKU,Name,Weight(g),Karat,Metal,StoneWeight(ct),StoneType
RING-001,Gold Diamond Ring,5.5,22,gold,0.25,diamond
RING-002,Gold Ruby Ring,6.2,18,gold,0.5,ruby
NECK-001,Gold Chain,15.8,22,gold,,
NECK-002,Platinum Necklace,12.3,,platinum,1.2,diamond
BRAC-001,Silver Bracelet,8.5,,silver,,
RING-003,Gold Emerald Ring,5.8,18,gold,0.35,emerald
PEND-001,Gold Pendant,3.2,22,gold,0.15,diamond
RING-004,Platinum Diamond Ring,7.1,,platinum,0.8,diamond
EARR-001,Gold Earrings,4.5,18,gold,0.4,diamond
NECK-003,Gold Necklace,18.5,22,gold,,
RING-005,Gold Sapphire Ring,6.5,18,gold,0.6,sapphire
BRAC-002,Gold Bracelet,12.3,22,gold,,
RING-006,Silver Ring,4.2,,silver,0.2,gemstone
PEND-002,Platinum Pendant,4.8,,platinum,0.3,diamond
EARR-002,Silver Earrings,3.5,,silver,,
RING-007,Gold Band,5.0,22,gold,,
NECK-004,Silver Chain,8.2,,silver,,
RING-008,Gold Diamond Ring,6.8,18,gold,0.45,diamond
BRAC-003,Platinum Bracelet,10.5,,platinum,0.7,diamond
PEND-003,Gold Ruby Pendant,3.8,22,gold,0.25,ruby
