Feature Category,Feature Name,Feature Description,User Type,Inputs,Outputs,Notes / Constraints
Making Charges,Making Groups (Master Making),Create reusable making charge templates that can be applied to multiple products,Admin,"Group name, charge type (per_gram/flat/percent), charge value",Making group entity with unique name per shop,Groups enforce exclusive membership - one product can only belong to one group
Making Charges,Product Assignment to Making Groups,Assign products to making groups via dedicated management modal with search and collection filtering,Admin,"Product selection, making group ID",Updated product.makingGroupId,Products already in other groups are disabled and show warning badge
Making Charges,Making Group Collection Filter,Filter products by Shopify collection when assigning to making groups,Admin,Collection ID from dropdown,Filtered product list for assignment,Uses cached collection data from Shopify GraphQL API
Making Charges,Making Charge Priority Resolution,Pricing engine resolves making charges with priority: Product-level override > Making Group > Global settings,System,"Product data, making group data, global settings",Calculated making charge for pricing,Maintains backward compatibility with existing products
Product Management,Collection-Based Product Filtering,Filter products list by Shopify collection,Admin,Collection ID selection,Filtered products matching collection,Available on both Products page and Making Groups assignment modal
Product Management,Auto Gross Gold Weight,Automatically calculate gross gold weight from net weight and wastage percentage,Admin,"Net weight, wastage %, auto toggle",Calculated gross gold weight,When enabled replaces manual gross gold weight input
Gemstones,Custom Gemstone Multi-Pricing,Support both per-carat and per-piece pricing for custom gemstones,Admin,"Pricing method toggle, price value, weight/pieces",Custom gemstone with appropriate pricing,Resolves 'Rate not set' errors for custom gems
Gemstones,CZ Cubic Zirconia Unit Handling,Display and calculate CZ gemstones in grams instead of carats,Admin/Customer,CZ weight in grams,Pricing in ₹/gm with automatic conversion,Backend stores in carats with 5:1 conversion ratio
Sync & Performance,Sync Status Metrics UI,Real-time sync progress indicator in top bar with detailed metrics tooltip,Admin,Sync trigger,Status banner showing fetched/created/updated/deleted/unchanged counts,Non-blocking background job execution
Sync & Performance,Background Job Tracking,Track all sync operations as Job entities with metrics and status,System,Sync operation,Job record with totalItems/processedItems/failedItems/result,Enables observability and status polling via /api/sync/status
Sync & Performance,Unchanged Product Skip Optimization,Skip database writes when Shopify product data hasn't changed,System,Product comparison,Reduced DB writes and faster sync,Tracks 'unchanged' count in job metrics
Data Import/Export,Custom Gemstone CSV Columns,Extended CSV template with custom gemstone fields for import/export,Admin,CSV with gemstone_X_isCustom/pricePerCarat/pricePerPiece columns,Products with custom gemstone data,Backward compatible with existing templates
Data Import/Export,File Download Fix,Proper blob-based file downloads with Content-Disposition header parsing,Admin,Download action (template/export),Correctly named files with extensions,Fixes port mismatch and missing file extensions
Collections Integration,Shopify Collections API,Fetch and cache all Shopify collections via GraphQL,System,Shopify access token,Array of collection objects with id and title,5-minute cache with pagination support for 250+ collections
Collections Integration,Collection Product Lookup,Retrieve all product IDs belonging to a specific collection,System,Collection GID,Array of Shopify product GIDs,1-minute cache with GraphQL pagination
